parent	child
Renal Non-Clear Cell Carcinoma (NCCRCC)	Renal Angiomyolipoma (RAML)
Acute Lymphoid Leukemia (ALL)	B-Cell Acute Lymphoid Leukemia (BALL)
Germ Cell Tumor of the Vulva (VGCT)	Polyembryoma (VPE)
Ependymomal Tumor (EPMT)	Myxopapillary Ependymoma (MPE)
Salivary Carcinoma (SACA)	Myoepithelial Carcinoma (MYEC)
Large Cell Lung Carcinoma (LCLC)	Clear Cell Carcinoma of the Lung (CCLC)
Invasive Breast Carcinoma (BRCA)	Breast Invasive Cancer, NOS (BRCANOS)
Salivary Carcinoma (SACA)	Salivary Gland Oncocytoma (SGO)
Invasive Breast Carcinoma (BRCA)	Breast Invasive Lobular Carcinoma (ILC)
Ovarian Epithelial Tumor (OVT)	Serous Ovarian Cancer (SOC)
Esophagogastric Adenocarcinoma (EGC)	Adenosquamous Carcinoma of the Stomach (STAS)
Non-Seminomatous Germ Cell Tumor (NSGCT)	Yolk Sac Tumor (TYST)
Uterine Smooth Muscle Tumor (USMT)	Uterine Leiomyosarcoma (ULMS)
Sellar Tumor (SELT)	Atypical Pituitary Adenoma (APTAD)
Appendiceal Adenocarcinoma (APAD)	Goblet Cell Carcinoid of the Appendix (GCCAP)
Penile Squamous Cell Carcinoma (PSCC)	Verrucous Penile Squamous Cell Carcinoma (VPSCC)
Renal Non-Clear Cell Carcinoma (NCCRCC)	Translocation-Associated Renal Cell Carcinoma (TRCC)
B-Cell Lymphoma (BCL)	Splenic Marginal Zone Lymphoma (SMZL)
Embryonal Tumor (EMBT)	Embryonal Tumor with Abundant Neuropil and True Rosettes (ETANTR)
Choroid Plexus Tumor (CPT)	Choroid Plexus Papilloma (CPP)
Wilms' Tumor (WT)	Rhabdoid Cancer (MRT)
Ovarian Epithelial Tumor (OVT)	Mucinous Ovarian Cancer (MOV)
Miscellaneous Neuroepithelial Tumor (MNET)	Papillary Glioneuronal Tumor (PGNT)
Molar Pregnancy (MP)	Complete Hydatidiform Mole (CHM)
Lung Neuroendocrine Tumor (LNET)	Small Cell Lung Cancer (SCLC)
Invasive Breast Carcinoma (BRCA)	Solid Papillary Carcinoma of the Breast (SPC)
Sellar Tumor (SELT)	Granular Cell Tumor (GCT)
Encapsulated Glioma (ENCG)	Anaplastic Ganglioglioma (AGNG)
Endometrial Carcinoma (UCEC)	Uterine Adenosquamous Carcinoma (UASC)
Undifferentiated Stomach Adenocarcinoma (USTAD)	Poorly Differentiated Carcinoma of the Stomach (SPDAC)
Encapsulated Glioma (ENCG)	Ganglioglioma (GNG)
Colorectal Adenocarcinoma (COADREAD)	Mucinous Adenocarcinoma of the Colon and Rectum (MACR)
Miscellaneous Neuroepithelial Tumor (MNET)	Central Neurocytoma (CNC)
Glioblastoma (GB)	Small Cell Glioblastoma (SCGBM)
Embryonal Tumor (EMBT)	Desmoplastic/Nodular Medulloblastoma (DMBL)
Non-Seminomatous Germ Cell Tumor (NSGCT)	Teratoma (TT)
Miscellaneous Brain Tumor (MBT)	Mesenchymal Chondrosarcoma of the CNS (MCHSCNS)
Head and Neck Carcinoma, Other (OHNCA)	Sinonasal Adenocarcinoma (SNA)
Embryonal Tumor (EMBT)	Medulloepithelioma (MDEP)
Diffuse Glioma (DIFG)	Astrocytoma (ASTR)
Stomach Adenocarcinoma (STAD)	Papillary Stomach Adenocarcinoma (PSTAD)
Brenner Tumor (BTOV)	Brenner Tumor, Borderline (BTBOV)
Germ Cell Tumor of the Vulva (VGCT)	Dysgerminoma (VDYS)
Breast Fibroepithelial Neoplasms (BFN)	Fibroadenoma (FA)
Cancer of Unknown Primary (CUP)	Cancer of Unknown Primary, NOS (CUPNOS)
Pineal Tumor (PINT)	Pineoblastoma (PBL)
Ovarian Epithelial Tumor (OVT)	Small Cell Carcinoma of the Ovary (SCCO)
Uterine Sarcoma/Mesenchymal (USARC)	Undifferentiated Uterine Sarcoma (UUS)
Appendiceal Adenocarcinoma (APAD)	Signet Ring Cell Type of the Appendix (SRAP)
Sex Cord Stromal Tumor (SCST)	Granulosa Cell Tumor (GRCT)
Serous Ovarian Cancer (SOC)	Low-Grade Serous Ovarian Cancer (LGSOC)
B-Cell Lymphoma (BCL)	Follicular Lymphoma (FL)
Cervical Adenocarcinoma (CEAD)	Cervical Clear Cell Carcinoma (CECC)
Schwannoma (SCHW)	Cellular Schwannoma (CSCHW)
Embryonal Tumor (EMBT)	Medulloblastoma with Extensive Nodularity (MBEN)
Histiocytosis (HIST)	Non-Langerhans Cell Histiocytosis/Erdheim-Chester Disease (ECD)
Diffuse Glioma (DIFG)	Anaplastic Astrocytoma (AASTR)
Pleural Mesothelioma (PLMESO)	Pleural Mesothelioma, Biphasic Type (PLBMESO)
Osteosarcoma (OS)	Small Cell Osteosarcoma (SCOS)
Breast Fibroepithelial Neoplasms (BFN)	Phyllodes Tumor of the Breast (PT)
Schwannoma (SCHW)	Melanotic Schwannoma (MSCHW)
Pineal Tumor (PINT)	Pineocytoma (PINC)
Fibrosarcoma (FIBS)	Sclerosing Epithelioid Fibrosarcoma (SEF)
B-Cell Lymphoma (BCL)	Nodal Marginal Zone Lymphoma (NMZL)
Molar Pregnancy (MP)	Invasive Hydatidiform Mole (IHM)
Endometrial Carcinoma (UCEC)	Uterine Endometrioid Carcinoma (UEC)
Meningothelial Tumor (MNGT)	Anaplastic Meningioma (ANM)
Renal Non-Clear Cell Carcinoma (NCCRCC)	Chromophobe Renal Cell Carcinoma (CHRCC)
Gestational Trophoblastic Disease (GTD)	Choriocarcinoma (UCCA)
Histiocytosis (HIST)	Langerhans Cell Histiocytosis (LCH)
Esophagogastric Adenocarcinoma (EGC)	Gastric Remnant Adenocarcinoma (GRC)
Brenner Tumor (BTOV)	Brenner Tumor, Malignant (BTMOV)
Embryonal Tumor (EMBT)	Large Cell/Anaplastic Medulloblastoma (AMBL)
Miscellaneous Neuroepithelial Tumor (MNET)	Cerebellar Liponeurocytoma (CLNC)
Metaplastic Breast Cancer (MBC)	Mixed Type Metaplastic Breast Cancer (MMBC)
Cystic Tumor of the Pancreas (PACT)	Serous Cystadenoma of the Pancreas (PSC)
Miscellaneous Brain Tumor (MBT)	High-Grade Neuroepithelial Tumor (HGNET)
Esophagogastric Adenocarcinoma (EGC)	Undifferentiated Stomach Adenocarcinoma (USTAD)
Uterine Sarcoma/Mesenchymal (USARC)	Uterine Adenosarcoma (UAS)
Embryonal Tumor (EMBT)	Olfactory Neuroblastoma (ONBL)
Chordoma (CHDM)	Conventional Type Chordoma (CCHDM)
Melanoma (MEL)	Lentigo Maligna Melanoma (SKLMM)
Endometrial Carcinoma (UCEC)	Uterine Undifferentiated Carcinoma (UUC)
Mixed Type Metaplastic Breast Cancer (MMBC)	Carcinoma with Chondroid Metaplasia (CCHM)
Rhabdomyosarcoma (RMS)	Pleomorphic Rhabdomyosarcoma (PLRMS)
Epithelial Type Metaplastic Breast Cancer (EMBC)	Metaplastic Adenosquamous Carcinoma (MASC)
Renal Non-Clear Cell Carcinoma (NCCRCC)	Collecting Duct Renal Cell Carcinoma (CDRCC)
Liposarcoma (LIPO)	Dedifferentiated Liposarcoma (DDLS)
Ampullary Carcinoma (AMPCA)	Mixed Ampullary Carcinoma (MAMPCA)
Choroid Plexus Tumor (CPT)	Atypical Choroid Plexus Papilloma (ACPP)
Appendiceal Adenocarcinoma (APAD)	Colonic Type Adenocarcinoma of the Appendix (CTAAP)
Breast Ductal Carcinoma In Situ (DCIS)	Paget Disease of the Nipple (PD)
Esophagogastric Adenocarcinoma (EGC)	Esophageal Adenocarcinoma (ESCA)
Invasive Breast Carcinoma (BRCA)	Breast Invasive Carcinosarcoma, NOS (CSNOS)
Small Bowel Cancer (SBC)	Duodenal Adenocarcinoma (DA)
Endometrial Stromal Sarcoma (ESS)	High-Grade Endometrial Stromal Sarcoma (HGESS)
Leukemia (LEUK)	Hairy Cell Leukemia (HCL)
Ependymomal Tumor (EPMT)	Anaplastic Ependymoma (APE)
Urethral Cancer (UCA)	Urethral Squamous Cell Carcinoma (USCC)
Salivary Carcinoma (SACA)	Salivary Duct Carcinoma (SDCA)
Gestational Trophoblastic Disease (GTD)	Placental Site Trophoblastic Tumor (PSTT)
Germ Cell Tumor of the Vulva (VGCT)	Immature Teratoma (VIMT)
Germ Cell Tumor of the Vulva (VGCT)	Mixed Germ Cell Tumor (VMGCT)
Head and Neck Squamous Cell Carcinoma (HNSC)	Oral Cavity Squamous Cell Carcinoma (OCSC)
Germ Cell Tumor, Brain (BGCT)	Germinoma (GMN)
Ovarian Germ Cell Tumor (OGCT)	Mixed Germ Cell Tumor (OMGCT)
Ovarian Epithelial Tumor (OVT)	Clear Cell Ovarian Cancer (CCOV)
Osteosarcoma (OS)	Telangiectatic Osteosarcoma (TEOS)
Dendritic Cell Sarcoma (DCS)	Interdigitating Dendritic Cell Sarcoma (IDCS)
Esophagogastric Adenocarcinoma (EGC)	Small Cell Carcinoma of the Stomach (STSC)
Large Cell Lung Carcinoma (LCLC)	Large Cell Lung Carcinoma With Rhabdoid Phenotype (RLCLC)
Chordoma (CHDM)	Dedifferentiated Chordoma  (DDCHDM)
B-Cell Lymphoma (BCL)	Small Lymphocytic Lymphoma (SLL)
Rhabdomyosarcoma (RMS)	Spindle Cell/Sclerosing Rhabdomyosarcoma (SCSRMS)
Embryonal Tumor (EMBT)	Atypical Teratoid/Rhabdoid Tumor (ATRT)
Embryonal Tumor (EMBT)	Primitive Neuroectodermal Tumor (PNET)
Embryonal Tumor (EMBT)	Ganglioneuroblastoma (GNBL)
Non-Small Cell Lung Cancer (NSCLC)	Salivary Gland–Type Tumor of the Lung (SGTTL)
Liposarcoma (LIPO)	Myxoid/Round-Cell Liposarcoma (MRLS)
Ovarian Germ Cell Tumor (OGCT)	Dysgerminoma (ODYS)
Sex Cord Stromal Tumor (SCST)	Gonadoblastoma (OGBL)
Ocular Melanoma (OM)	Uveal Melanoma (UM)
Rhabdomyosarcoma (RMS)	Alveolar Rhabdomyosarcoma (ARMS)
Salivary Carcinoma (SACA)	Mammary Analogue Secretory Carcinoma of Salivary Gland Origin (HNMASC)
Diffuse Glioma (DIFG)	Anaplastic Oligoastrocytoma (AOAST)
Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)
Miscellaneous Brain Tumor (MBT)	Hemangioblastoma (HMBL)
Dendritic Cell Sarcoma (DCS)	Histiocytic Dendritic Cell Sarcoma (HDCS)
Mixed Type Metaplastic Breast Cancer (MMBC)	Metaplastic Carcinosarcoma (MCS)
Meningothelial Tumor (MNGT)	Rhabdoid Meningioma (RHM)
Undifferentiated Stomach Adenocarcinoma (USTAD)	Signet Ring Cell Carcinoma of the Stomach (SSRCC)
Sellar Tumor (SELT)	Pituitary Carcinoma (PTCA)
Salivary Carcinoma (SACA)	Acinic Cell Carcinoma (ACCC)
Encapsulated Glioma (ENCG)	Pleomorphic Xanthoastrocytoma (PXA)
Renal Non-Clear Cell Carcinoma (NCCRCC)	Renal Medullary Carcinoma (MRC)
Diffuse Glioma (DIFG)	Oligoastrocytoma (OAST)
Cholangiocarcinoma (CHOL)	Intrahepatic Cholangiocarcinoma (IHCH)
Cervical Adenocarcinoma (CEAD)	Cervical Serous Carcinoma (CESE)
Mucinous Carcinoma (CEMU)	Gastric Type Mucinous Carcinoma (GCEMU)
Germ Cell Tumor, Brain (BGCT)	Embryonal Carcinoma (BEC)
Embryonal Tumor (EMBT)	Melanotic Medulloblastoma (MMBL)
Odontogenic Carcinoma (ODGC)	Clear Cell Odontogenic Carcinoma (CCOC)
Miscellaneous Neuroepithelial Tumor (MNET)	Desmoplastic Infantile Astrocytoma (DIA)
Uterine Sarcoma/Mesenchymal (USARC)	Endometrial Stromal Sarcoma (ESS)
Meningothelial Tumor (MNGT)	Meningioma (MNG)
Osteosarcoma (OS)	High-Grade Surface Osteosarcoma (HGSOS)
Penile Squamous Cell Carcinoma (PSCC)	Basaloid Penile Squamous Cell Carcinoma (BPSCC)
Osteosarcoma (OS)	Parosteal Osteosarcoma (PAOS)
Head and Neck Carcinoma, Other (OHNCA)	Epithelial-Myoepithelial Carcinoma (EMYOCA)
Myeloproliferative Neoplasm (MPN)	Polycythemia Vera  (PCV)
Non-Hodgkin Lymphoma (NHL)	T-Cell and Natural Killer Lymphoma (TNKL)
Non-Small Cell Lung Cancer (NSCLC)	Large Cell Lung Carcinoma (LCLC)
Uterine Smooth Muscle Tumor (USMT)	Uterine Leiomyoma (ULM)
Epithelial Type Metaplastic Breast Cancer (EMBC)	Metaplastic Squamous Cell Carcinoma (MSCC)
Leukemia (LEUK)	Large Granular Lymphocytic Leukemia (LGLL)
Endometrial Carcinoma (UCEC)	Uterine Dedifferentiated Carcinoma (UDDC)
Colorectal Adenocarcinoma (COADREAD)	Rectal Adenocarcinoma (READ)
Non-Small Cell Lung Cancer (NSCLC)	Ciliated Muconodular Papillary Tumor of the Lung (CMPT)
Ovarian Epithelial Tumor (OVT)	Serous Borderline Ovarian Tumor, Micropapillary (SBMOV)
Phyllodes Tumor of the Breast (PT)	Borderline Phyllodes Tumor of the Breast (BLPT)
Ovarian Germ Cell Tumor (OGCT)	Polyembryoma (OPE)
Ovarian Epithelial Tumor (OVT)	Serous Borderline Ovarian Tumor (SBOV)
Ovarian Cancer, Other (OOVC)	High-Grade Neuroendocrine Carcinoma of the Ovary (HGONEC)
Urethral Cancer (UCA)	Urethral Adenocarcinoma (UAD)
Sex Cord Stromal Tumor (SCST)	Steroid Cell Tumor, NOS (SCT)
Lung Neuroendocrine Tumor (LNET)	Atypical Lung Carcinoid (ALUCA)
Non-Small Cell Lung Cancer (NSCLC)	Spindle Cell Carcinoma of the Lung (SpCC)
Miscellaneous Neuroepithelial Tumor (MNET)	Paraganglioma (PGNG)
Embryonal Tumor (EMBT)	Medulloblastoma (MBL)
Nerve Sheath Tumor (NST)	Malignant Peripheral Nerve Sheath Tumor (MPNST)
Leukemia (LEUK)	Acute Lymphoid Leukemia (ALL)
Gastrointestinal Neuroendocrine Tumors (GINET)	Small Bowel Well-Differentiated Neuroendocrine Tumor (SBWDNET)
Renal Non-Clear Cell Carcinoma (NCCRCC)	Unclassified Renal Cell Carcinoma (URCC)
B-Cell Lymphoma (BCL)	Primary Effusion Lymphoma (PEL)
Melanoma (MEL)	Cutaneous Melanoma (SKCM)
Non-Small Cell Lung Cancer (NSCLC)	Pleomorphic Carcinoma of the Lung (LUPC)
Ovarian Epithelial Tumor (OVT)	Ovarian Seromucinous Borderline Tumor (OSMBT)
Appendiceal Adenocarcinoma (APAD)	Mucinous Adenocarcinoma of the Appendix (MAAP)
Lung Neuroendocrine Tumor (LNET)	Large Cell Neuroendocrine Carcinoma (LUNE)
Sex Cord Stromal Tumor (SCST)	Malignant Fibrothecoma (MFT)
Miscellaneous Neuroepithelial Tumor (MNET)	Extraventricular Neurocytoma (EVN)
Cancer of Unknown Primary (CUP)	Neuroendocrine Tumor, NOS (NETNOS)
Ovarian Epithelial Tumor (OVT)	Mixed Ovarian Carcinoma (MXOV)
Head and Neck Squamous Cell Carcinoma (HNSC)	Hypopharynx Squamous Cell Carcinoma (HPHSC)
Dendritic Cell Sarcoma (DCS)	Follicular Dendritic Cell Sarcoma (FDCS)
Non-Seminomatous Germ Cell Tumor (NSGCT)	Teratoma with Malignant Transformation (TMT)
Endometrial Carcinoma (UCEC)	Uterine Neuroendocrine Carcinoma (UNEC)
B-Cell Lymphoma (BCL)	Diffuse Large B-Cell Lymphoma (DLBCL)
Osteosarcoma (OS)	Fibroblastic Osteosarcoma (FIOS)
Hodgkin Lymphoma (HL)	Nodular Lymphocyte-Predominant Hodgkin Lymphoma (NLPHL)
Germ Cell Tumor, Brain (BGCT)	Mixed Germ Cell Tumor (BMGCT)
Sellar Tumor (SELT)	Craniopharyngioma, Adamantinomatous Type (ACPG)
Germ Cell Tumor of the Vulva (VGCT)	Yolk Sac Tumor (VYST)
Meningothelial Tumor (MNGT)	Papillary Meningioma (PPM)
Salivary Carcinoma (SACA)	Adenoid Cystic Carcinoma (ACYC)
Urachal Carcinoma (URCA)	Urachal Adenocarcinoma (UA)
Pineal Tumor (PINT)	Papillary Tumor of the Pineal Region (PTPR)
Endometrial Carcinoma (UCEC)	Uterine Clear Cell Carcinoma (UCCC)
Uterine Sarcoma/Mesenchymal (USARC)	Uterine Perivascular Epithelioid Cell Tumor (UPECOMA)
Melanoma (MEL)	Congenital Nevus (SKCN)
Miscellaneous Neuroepithelial Tumor (MNET)	Desmoplastic Infantile Ganglioglioma (DIG)
Leukemia (LEUK)	Chronic Lymphocytic Leukemia (CLL)
Ovarian Germ Cell Tumor (OGCT)	Embryonal Carcinoma (OEC)
Salivary Carcinoma (SACA)	Mucoepidermoid Carcinoma (MUCC)
Sellar Tumor (SELT)	Craniopharyngioma, Papillary Type (PCGP)
Germ Cell Tumor, Brain (BGCT)	Malignant Teratoma (BMGT)
Salivary Gland–Type Tumor of the Lung (SGTTL)	Adenoid Cystic Carcinoma of the Lung (LUACC)
Non-Seminomatous Germ Cell Tumor (NSGCT)	Mixed Germ Cell Tumor (MGCT)
Sex Cord Stromal Tumor (SCST)	Sertoli-Leydig Cell Tumor (SLCT)
Ovarian Germ Cell Tumor (OGCT)	Yolk Sac Tumor (OYST)
Ampullary Carcinoma (AMPCA)	Pancreatobiliary Ampullary Carcinoma (PAMPCA)
Cancer of Unknown Primary (CUP)	Neuroendocrine Carcinoma, NOS (NECNOS)
Osteosarcoma (OS)	Osteoblastic Osteosarcoma (OSOS)
Rhabdomyosarcoma (RMS)	Embryonal Rhabdomyosarcoma (ERMS)
Embryonal Tumor (EMBT)	Medullomyoblastoma (MMB)
Myeloproliferative Neoplasm (MPN)	Myelofibrosis/Osteomyelofibrosis (MYF)
Metaplastic Breast Cancer (MBC)	Epithelial Type Metaplastic Breast Cancer (EMBC)
Colorectal Adenocarcinoma (COADREAD)	Signet Ring Cell Adenocarcinoma of the Colon and Rectum (SRCCR)
Renal Non-Clear Cell Carcinoma (NCCRCC)	Sarcomatoid Renal Cell Carcinoma (SRCC)
Hodgkin Lymphoma (HL)	Classical Hodgkin Lymphoma (CHL)
Miscellaneous Neuroepithelial Tumor (MNET)	Dysplastic Gangliocytoma of the Cerebellum/Lhermitte-Duclos Disease (LDD)
Cancer of Unknown Primary (CUP)	Mixed Cancer Types (MIXED)
Leukemia (LEUK)	Chronic Myelogenous Leukemia (CML)
Cholangiocarcinoma (CHOL)	Extrahepatic Cholangiocarcinoma (EHCH)
Cancer of Unknown Primary (CUP)	Undifferentiated Malignant Neoplasm (UDMN)
Cancer of Unknown Primary (CUP)	Adenocarcinoma, NOS (ADNOS)
Meningothelial Tumor (MNGT)	Clear cell Meningioma (CCM)
Diffuse Glioma (DIFG)	High-Grade Glioma, NOS (HGGNOS)
Gastrointestinal Neuroendocrine Tumors (GINET)	Well-Differentiated Neuroendocrine Tumors of the Stomach (SWDNET)
Ocular Melanoma (OM)	Conjunctival Melanoma (CM)
Thymic Epithelial Tumor (TET)	Thymoma (THYM)
Osteosarcoma (OS)	Low-Grade Central Osteosarcoma (LGCOS)
Miscellaneous Neuroepithelial Tumor (MNET)	Chordoid Glioma of the Third Ventricle (CHGL)
Lung Neuroendocrine Tumor (LNET)	Lung Carcinoid (LUCA)
Encapsulated Glioma (ENCG)	Low-Grade Glioma, NOS (LGGNOS)
Meningothelial Tumor (MNGT)	Chordoid Meningioma (CHOM)
Diffuse Glioma (DIFG)	Diffuse Intrinsic Pontine Glioma (DIPG)
Miscellaneous Brain Tumor (MBT)	Primary Brain Tumor (PBT)
Salivary Carcinoma (SACA)	Salivary Carcinoma, Other (OSACA)
Ependymomal Tumor (EPMT)	Subependymoma (SUBE)
Gestational Trophoblastic Disease (GTD)	Epithelioid Trophoblastic Tumor (ETT)
Miscellaneous Brain Tumor (MBT)	Primary Neuroepithelial Tumor (PRNET)
Myxoma (MYXO)	Ossifying Fibromyxoid Tumor (OFMT)
Head and Neck Carcinoma, Other (OHNCA)	Head and Neck Neuroendocrine Carcinoma (HNNE)
Germ Cell Tumor of the Vulva (VGCT)	Embryonal Carcinoma (VOEC)
Endometrial Stromal Sarcoma (ESS)	Low-Grade Endometrial Stromal Sarcoma (LGESS)
Non-Small Cell Lung Cancer (NSCLC)	Lung Adenosquamous Carcinoma (LUAS)
Head and Neck Carcinoma, Other (OHNCA)	Sinonasal Undifferentiated Carcinoma (SNUC)
Stomach Adenocarcinoma (STAD)	Mucinous Stomach Adenocarcinoma (MSTAD)
Diffuse Glioma (DIFG)	Glioblastoma (GB)
B-Cell Lymphoma (BCL)	Extranodal Marginal Zone Lymphoma (MALTL)
Renal Non-Clear Cell Carcinoma (NCCRCC)	Renal Oncocytoma (ROCY)
Renal Non-Clear Cell Carcinoma (NCCRCC)	Renal Small Cell Carcinoma (RSCC)
Uterine Smooth Muscle Tumor (USMT)	Uterine Epithelioid Leiomyosarcoma (UELMS)
Leukemia (LEUK)	Acute Myeloid Leukemia (AML)
Germ Cell Tumor, Brain (BGCT)	Mature Teratoma (BMT)
Nerve Sheath Tumor (NST)	Schwannoma (SCHW)
Sellar Tumor (SELT)	Pituitary Adenoma (PTAD)
Gastrointestinal Neuroendocrine Tumors (GINET)	Well-Differentiated Neuroendocrine Tumor of the Appendix (AWDNET)
Glioblastoma (GB)	Glioblastoma Multiforme (GBM)
Ovarian Epithelial Tumor (OVT)	Ovarian Seromucinous Adenoma (OSMAD)
Liposarcoma (LIPO)	Pleomorphic Liposarcoma (PLLS)
Cancer of Unknown Primary (CUP)	Poorly Differentiated Carcinoma, NOS (PDC)
Renal Non-Clear Cell Carcinoma (NCCRCC)	Papillary Renal Cell Carcinoma (PRCC)
Chondrosarcoma (CHS)	Myxoid Chondrosarcoma (MYCHS)
Phyllodes Tumor of the Breast (PT)	Benign Phyllodes Tumor of the Breast (BPT)
Brenner Tumor (BTOV)	Brenner Tumor, Benign (BTBEOV)
Meningothelial Tumor (MNGT)	Atypical Meningioma (ATM)
Ovarian Epithelial Tumor (OVT)	Ovarian Carcinosarcoma/Malignant Mixed Mesodermal Tumor (OCS)
Ovarian Germ Cell Tumor (OGCT)	Immature Teratoma (OIMT)
